level	file	index	law_id	law	article	missing	question	correct
B	batch12_a4	39	ENV-111	汽車製造業表面塗裝作業空氣污染物排放標準	第7條	3	乾燥室廢氣之揮發性有機物應符合何項排放標準？	總破壞去除效率九〇％及排放管道排放標準未經含氧量校正六〇mg/Nm3
B	batch12_c3	18	ENV-126	移動污染源空氣污染物排放標準	第3條	2	汽油及替代清潔燃料引擎汽車排氣管排放標準，管制哪些污染物？以何種方式測定？	管制CO、HC、NOx、粒狀污染物及粒狀污染物數量，分行車型態測定與惰轉狀態測定二種方式
B	batch12_g1	32	ENV-173	事業廢棄物輸入輸出管理辦法	第25條	1	本辦法所定之相關文書格式及審查作業事項，由何機關訂定？	由中央主管機關定之，俾統一全國申請書表格式與審查作業之一致性標準
B	batch12_g2	5	ENV-174	依促進民間參與公共建設法設置之廢棄物清除處理設施管理辦法	第6條	1	民間機構因投資契約變更致同意文件記載事項變更時，主辦機關應於何時辦理同意文件之變	應於投資契約變更後十五日內辦理同意文件之變更，以維持同意文件與投資契約內容之一致
B	batch12_g2	16	ENV-174	依促進民間參與公共建設法設置之廢棄物清除處理設施管理辦法	第16條	1	本辦法所定之相關文書格式，由何機關訂定？	由中央主管機關定之，俾全國主辦機關核發同意文件及申報作業有一致之格式
B	batch12_g2	33	ENV-175	指定公營事業設置廢棄物清除處理設施管理辦法	第14條	1	指定公營事業設置廢棄物清除處理設施管理辦法所定之相關文書格式，由何機關訂定？	由中央主管機關定之，俾指定文件、契約副知及營運紀錄申報有一致之格式標準
B	batch12_g4	10	ENV-180	廢照明光源回收貯存清除處理方法及設施標準	第8條	2	廢照明光源之處理，關於合併處理及設備共用有何限制？	應回收之廢照明光源不得與其他非屬公告應回收之廢照明光源合併處理；發光二極體廢照明光源不得與含汞廢照明光源共用處理設備
B	batch12_h1	12	ENV-184	廢機動車輛回收貯存清除處理方法及設施標準	第8條	6	本標準之施行日期如何規定？	本標準自發布日施行，第七條另定六個月之改善期間
B	batch13_a1	32	ENV-28	空氣品質標準	第3條	8;24	依本標準所定各項空氣污染物之空氣品質標準，懸浮微粒、細懸浮微粒及臭氧分別以何種平	懸浮微粒為日平均值及年平均值；細懸浮微粒為二十四小時值及年平均值；臭氧為小時平均值及八小時平均值
B	batch13_b1	35	ENV-49	飲用水管理條例	第24條之3	1	本條例所稱按日連續處罰，其起算日、暫停日、停止日及改善完成認定查驗事項由何者規範	由中央主管機關另定辦法統一規範之，不由地方各自認定
B	batch13_b2	16	ENV-52	廢棄物清理法施行細則	第19條	1	本法及本細則所定之告發單、處分書及移送書或其他書表格式，除另有規定外由何機關訂定	由中央主管機關統一訂定其格式，以利各級機關一致適用
B	batch13_d2	31	ENV-84	氣候變遷因應法施行細則	第21條	1	中央目的事業主管機關依本法第十一條或第十九條召開公聽會時，方案初稿內容及開會資訊	應於會議舉行十日前公開周知，並將會議紀錄一併公開之
B	batch13_d2	32	ENV-84	氣候變遷因應法施行細則	第22條	1	直轄市、縣（市）主管機關舉辦座談會或以其他適當方法廣詢意見時，初稿內容及開會資訊	應於舉辦七日前公開周知，並將廣詢方法及紀錄一併公開之
B	batch2_a	6	OSH-07	職業安全衛生設施規則	第19-1條	10	設施規則所稱「局限空間」之定義，不包括下列何項特徵？	面積在十平方公尺以下
B	batch6_d	2	OSH-48	勞動基準法	第9-1條	50	雇主與勞工為離職後競業禁止約定，其期間最長不得逾幾年？依施行細則合理補償每月不得	二年；百分之五十
B	batch6_d	14	OSH-48	勞動基準法	第36條	6	勞工每七日中應有幾日休息？其中例假與休息日各幾日？依施行細則不得使勞工連續工作逾	二日；例假一日、休息日一日；六日
B	batch6_e	1	OSH-41	高壓氣體勞工安全規則	第4條、第6條	200	高壓氣體勞工安全規則所稱可燃性氣體，除列舉者外，指爆炸下限在百分之多少以下或爆炸	百分之十以下或差百分之二十以上；二百 ppm 以下
B	batch9_c2	30	ENV-60	環境部事業廢棄物再利用管理辦法	第23條	1	再利用許可申請文件如為英文以外之其他外文者，應如何辦理？	應檢附中文譯本，一併送本部審查
